index,topYear,rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
44,2015,45,1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,The Chainsmokers,2SByipSK8eZ2pasaIwwzhf,Don't Let Me Down,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",80,159.803,0.869,0.532,-5.094,0.172,0.00508,208373,0.422,False,3.0,pop
45,2015,46,0cj2joJcY6b4XSRfj2eZOl,When We Were Young,Adele,7uwTHXmFa1Ebi5flqBosig,25,"['british soul', 'pop', 'pop soul', 'uk pop']",40,144.464,0.595,0.377,-5.936,0.0489,0.0,290900,0.264,False,5.0,pop
46,2015,47,3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),Clean Bandit,4UB0J5V3JsZZtNR360pZ6r,Rather Be (feat. Jess Glynne),"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",73,120.97,0.586,0.799,-6.735,0.0377,2.03e-06,227833,0.549,False,4.0,pop
47,2015,48,1KK0j3djUgx5tuOMwesdAT,Cool for the Summer,Demi Lovato,7HuuDdhR4ukUjkQg9ty6kt,Cool for the Summer,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",0,114.101,0.613,0.586,-5.593,0.0386,0.000183,214746,0.319,True,4.0,pop
48,2015,49,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,3mNoFlD1wsoXfkljfFzExT,TALKING IS HARD,"['dance pop', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",81,128.038,0.866,0.578,-3.804,0.0619,0.0,199080,0.619,False,3.0,rock
49,2015,50,7oGZAicScQt96OAW4AruYy,Want to Want Me,Jason Derulo,59eUYETmE1zi31ESb3SUkI,Everything Is 4,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']",76,114.025,0.68,0.775,-5.508,0.0629,0.0,207719,0.656,False,3.0,pop
50,2015,51,22mek4IiqubGD9ctzxc69s,How Deep Is Your Love,Calvin Harris,3cG32DOXJoYlOHMmJIaQsm,How Deep Is Your Love,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",76,122.003,0.868,0.738,-4.373,0.0731,0.00169,212640,0.336,False,4.0,edm
51,2015,52,78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,Rihanna,7yBl4uFyJzH48Vy6tPieXL,FourFiveSeconds,"['barbadian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b', 'urban contemporary']",79,205.846,0.272,0.582,-5.662,0.0501,0.0,188238,0.354,False,3.0,pop
52,2015,53,7KxhSJOYiqCDclXDBNlFSZ,Kill Em With Kindness,Selena Gomez,3Kbuu2tHsIbplFUkB7a5oE,Revival (Deluxe),"['dance pop', 'pop', 'pop dance', 'post-teen pop']",67,120.012,0.884,0.757,-5.488,0.0404,5.87e-05,217906,0.398,False,4.0,pop
53,2015,54,6ydpPcCGhQ4Ox3H0ly0WcX,Slow Motion,Trey Songz,3Qt6T8Wwje8VmyUbU7Z2w1,Slow Motion,"['dance pop', 'pop', 'r&b', 'urban contemporary']",50,94.947,0.408,0.733,-7.834,0.0388,3.92e-05,197854,0.291,False,3.0,pop
